ID_GVA46|FILLER|ESTADO_VTO|FECHA_VTO|IMPORTE_VT|N_COMP|T_COMP|ESTADO_UNI|IMP_VT_UNI|IMP_VT_EXT|IM_VT_UN_E|ALTERNATIVA_1|IMPORTE_TOTAL_1|ALTERNATIVA_2|IMPORTE_TOTAL_2|AJUSTA_COBRO_FECHA_ALTERNATIVA|UNIDADES_TOTAL_1|UNIDADES_TOTAL_2
1||PAG|2021-08-10 00:00:00|10,0000000|A0000200000001|FAC|PAG|,1000000|,0000000|,0000000|2021-08-30 00:00:00|10,2500000|2021-09-09 00:00:00|10,5000000|S|,1000000|,1000000
2||PAG|2021-08-10 00:00:00|162,5000000|A0000200000002|FAC|PAG|1,6000000|,0000000|,0000000|2021-08-30 00:00:00|166,5600000|2021-09-09 00:00:00|170,6300000|S|1,6400000|1,6800000
3||PAG|2021-08-10 00:00:00|834,4800000|A0000200000003|FAC|PAG|8,2000000|,0000000|,0000000|2021-08-30 00:00:00|855,3400000|2021-09-09 00:00:00|876,2000000|S|8,4100000|8,6100000
4||PAG|2021-08-10 00:00:00|25425,0000000|A0000200000004|FAC|PEN|249,8800000|,0000000|,0000000|2021-08-30 00:00:00|26060,6300000|2021-09-09 00:00:00|26696,2500000|S|256,1200000|262,3700000
5||PAG|2021-08-10 00:00:00|262,5000000|A0000200000005|FAC|PAG|2,5800000|,0000000|,0000000|2021-08-30 00:00:00|269,0600000|2021-09-09 00:00:00|275,6200000|S|2,6400000|2,7100000
6||PAG|2021-08-10 00:00:00|240,7500000|A0000200000006|FAC|PAG|2,3700000|,0000000|,0000000|2021-08-30 00:00:00|246,7700000|2021-09-09 00:00:00|252,7900000|S|2,4300000|2,4800000
11||PAG|2021-12-10 00:00:00|2,0000000|A0000200000007|FAC|PAG|,0200000|,0000000|,0000000|2021-12-30 00:00:00|2,0500000|2022-01-10 00:00:00|2,1000000|S|,0200000|,0200000
12||PAG|2022-01-10 00:00:00|449968,7500000|A0000200000008|FAC|PEN|4422,3000000|,0000000|,0000000|2022-01-31 00:00:00|456718,2800000|2022-02-09 00:00:00|463467,8100000|S|4488,6300000|4554,9700000
13||PAG|2022-01-14 00:00:00|2499,9900000|A0000300000001|FAC|PAG|23,1500000|,0000000|,0000000|1800-01-01 00:00:00|,0000000|1800-01-01 00:00:00|,0000000|N|,0000000|,0000000
14||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000001|FAC|PAG|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
15||PAG|2022-01-14 00:00:00|2499,9900000|A0000300000002|FAC|PAG|23,1500000|,0000000|,0000000|2022-02-03 00:00:00|2537,4900000|2022-02-14 00:00:00|2574,9900000|S|23,5000000|23,8400000
16||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000002|FAC|PAG|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
17||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000003|FAC|PAG|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
18||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000004|FAC|PAG|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
19||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000005|FAC|PAG|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
20||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000006|FAC|PAG|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
21||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000007|FAC|PAG|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
22||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000008|FAC|PAG|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
23||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000009|FAC|PAG|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
24||PAG|2022-01-10 00:00:00|2500,0000000|B0000300000010|FAC|PAG|23,1500000|,0000000|,0000000|2022-01-31 00:00:00|2537,5000000|2022-02-09 00:00:00|2575,0000000|S|23,5000000|23,8400000
